,Name of movie,Description,Genre,Stars
0,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,9.3
1,The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Crime Drama,9.2
2,Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Drama,9.1
3,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Action Crime Drama,9.0
4,The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Crime Drama,9.0
5,12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Crime Drama,9.0
6,Dara of Jasenovac,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,Drama War,8.9
7,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Action Adventure Drama,8.9
8,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Crime Drama,8.9
9,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Biography Drama History,8.9
10,Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Action Adventure Sci-Fi,8.8
11,Shershaah,"This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Action Biography Drama,8.8
12,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,8.8
13,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Action Adventure Drama,8.8
14,Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Drama Romance,8.8
15,"The Good, the Bad and the Ugly",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Western,8.8
16,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Action Adventure Drama,8.7
17,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Action Sci-Fi,8.7
18,Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Biography Crime Drama,8.7
19,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Action Adventure Fantasy,8.7
20,One Flew Over the Cuckoo's Nest,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Drama,8.7
21,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Comedy Drama Thriller,8.6
22,Drishyam 2,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Crime Drama Thriller,8.6
23,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Adventure Drama Sci-Fi,8.6
24,City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Crime Drama,8.6
25,Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Animation Adventure Family,8.6
26,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Drama War,8.6
27,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Crime Drama Fantasy,8.6
28,Life Is Beautiful,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Comedy Drama Romance,8.6
29,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Crime Drama Mystery,8.6
30,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Crime Drama Thriller,8.6
31,Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Action Adventure Fantasy,8.6
32,Hara-Kiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Action Drama Mystery,8.6
33,Seven Samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Action Adventure Drama,8.6
34,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Drama Family Fantasy,8.6
35,Raatchasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Action Crime Drama,8.5
36,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Drama Music,8.5
37,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Biography Comedy Drama,8.5
38,The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Drama Mystery Sci-Fi,8.5
39,The Departed,A crime action film about an undercover cop and a mole in the police attempting to identify each other while infiltrating an Irish gang in South Boston.,Crime Drama Thriller,8.5
40,The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Biography Drama Music,8.5
41,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action Adventure Drama,8.5
42,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama,8.5
43,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Crime Mystery Thriller,8.5
44,Léon: The Professional,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Action Crime Drama,8.5
45,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Animation Adventure Drama,8.5
46,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",Action Sci-Fi,8.5
47,Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Drama Romance,8.5
48,Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,Animation Drama War,8.5
49,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Adventure Comedy Sci-Fi,8.5
50,Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,8.5
51,Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Horror Mystery Thriller,8.5
52,Pather Panchali,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,8.5
53,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Mystery Thriller,8.5
54,Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Drama Romance War,8.5
55,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Comedy Drama Family,8.5
56,City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Comedy Drama Romance,8.5
57,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Biography Drama History,8.4
58,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,8.4
59,Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Crime Drama Thriller,8.4
60,Ayla: The Daughter of War,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",Biography Drama History,8.4
61,Your Name.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Animation Drama Fantasy,8.4
62,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Action Biography Drama,8.4
63,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Animation Action Adventure,8.4
64,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Action Adventure Drama,8.4
65,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Action Adventure Sci-Fi,8.4
66,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation Adventure Comedy,8.4
67,Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Drama Western,8.4
68,The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Action,8.4
69,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Comedy Drama,8.4
70,Like Stars on Earth,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Drama Family,8.4
71,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Animation Adventure Family,8.4
72,The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Drama Mystery Thriller,8.4
73,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Action Drama Mystery,8.4
74,Memento,A man with short-term memory loss attempts to track down his wife's murderer.,Mystery Thriller,8.4
75,Princess Mononoke,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Animation Action Adventure,8.4
76,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Crime Drama,8.4
77,Indiana Jones and the Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Action Adventure,8.4
78,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Drama Horror,8.4
79,Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Drama Mystery War,8.4
80,Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Horror Sci-Fi,8.4
81,High and Low,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Crime Drama Mystery,8.4
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Comedy,8.4
83,Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Crime Drama Mystery,8.4
84,Paths of Glory,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Drama War,8.4
85,Sunset Blvd.,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Drama Film-Noir,8.4
86,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Comedy Drama War,8.4
87,Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Comedy Drama Romance,8.3
88,1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Action Drama War,8.3
89,Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Action Drama War,8.3
90,Tumbbad,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Drama Fantasy Horror,8.3
91,K.G.F: Chapter 1,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Action Crime Drama,8.3
92,Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",Action Crime Drama,8.3
93,Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Crime Drama Thriller,8.3
94,The Hunt,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama,8.3
95,A Separation,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama,8.3
96,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Drama Mystery War,8.3
97,Demon Slayer: Mugen Train,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Animation Action Adventure,8.3
98,The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Drama,8.3
99,My Father and My Son,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Drama Family,8.3
100,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Adventure Drama War,8.3
101,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Drama Romance Sci-Fi,8.3
102,Amélie,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Comedy Romance,8.3
103,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Comedy Crime,8.3
104,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,8.3
105,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,8.3
106,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Drama Romance,8.3
107,Children of Heaven,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Drama Family Sport,8.3
108,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Animation Adventure Comedy,8.3
109,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Biography Drama History,8.3
110,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Crime Drama Thriller,8.3
111,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama War,8.3
112,Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Drama Thriller War,8.3
113,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Action Adventure Sci-Fi,8.3
114,Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Biography Drama History,8.3
