,Year of relase,Rating,Genre,Watchtime,Stars
0,1994,R,Drama,142,9.3
1,1972,R,Crime Drama,175,9.2
2,2020,TV-MA,Drama,153,9.1
3,2008,PG-13,Action Crime Drama,152,9.0
4,1974,R,Crime Drama,202,9.0
5,1957,Not Rated,Crime Drama,96,9.0
6,2020,R,Drama War,130,8.9
7,2003,PG-13,Action Adventure Drama,201,8.9
8,1994,R,Crime Drama,154,8.9
9,1993,R,Biography Drama History,195,8.9
10,2010,PG-13,Action Adventure Sci-Fi,148,8.8
11,2021,Not Rated,Action Biography Drama,135,8.8
12,1999,R,Drama,139,8.8
13,2001,PG-13,Action Adventure Drama,178,8.8
14,1994,PG-13,Drama Romance,142,8.8
15,1966,R,Western,178,8.8
16,2002,PG-13,Action Adventure Drama,179,8.7
17,1999,R,Action Sci-Fi,136,8.7
18,1990,R,Biography Crime Drama,146,8.7
19,1980,PG,Action Adventure Fantasy,124,8.7
20,1975,R,Drama,133,8.7
21,2019,R,Comedy Drama Thriller,132,8.6
22,2021,Not Rated,Crime Drama Thriller,152,8.6
23,2014,PG-13,Adventure Drama Sci-Fi,169,8.6
24,2002,R,Crime Drama,130,8.6
25,2001,PG,Animation Adventure Family,125,8.6
26,1998,R,Drama War,169,8.6
27,1999,R,Crime Drama Fantasy,189,8.6
28,1997,PG-13,Comedy Drama Romance,116,8.6
29,1995,R,Crime Drama Mystery,127,8.6
30,1991,R,Crime Drama Thriller,118,8.6
31,1977,PG,Action Adventure Fantasy,121,8.6
32,1962,Not Rated,Action Drama Mystery,133,8.6
33,1954,Not Rated,Action Adventure Drama,207,8.6
34,1946,PG,Drama Family Fantasy,130,8.6
35,2018,Not Rated,Action Crime Drama,170,8.5
36,2014,R,Drama Music,106,8.5
37,2011,R,Biography Comedy Drama,112,8.5
38,2006,PG-13,Drama Mystery Sci-Fi,130,8.5
39,2006,R,Crime Drama Thriller,151,8.5
40,2002,R,Biography Drama Music,150,8.5
41,2000,R,Action Adventure Drama,155,8.5
42,1998,R,Drama,119,8.5
43,1995,R,Crime Mystery Thriller,106,8.5
44,1994,R,Action Crime Drama,110,8.5
45,1994,G,Animation Adventure Drama,88,8.5
46,1991,R,Action Sci-Fi,137,8.5
47,1988,R,Drama Romance,155,8.5
48,1988,Not Rated,Animation Drama War,89,8.5
49,1985,PG,Adventure Comedy Sci-Fi,116,8.5
50,1968,PG-13,Western,165,8.5
51,1960,R,Horror Mystery Thriller,109,8.5
52,1955,Not Rated,Drama,125,8.5
53,1954,PG,Mystery Thriller,112,8.5
54,1942,PG,Drama Romance War,102,8.5
