,Name of movie,Rating,Genre,Watchtime,Metascore
0,The Shawshank Redemption,R,Drama,142,80
1,The Godfather,R,Crime Drama,175,100
3,The Dark Knight,PG-13,Action Crime Drama,152,84
4,The Godfather: Part II,R,Crime Drama,202,90
5,12 Angry Men,Not Rated,Crime Drama,96,96
7,The Lord of the Rings: The Return of the King,PG-13,Action Adventure Drama,201,94
8,Pulp Fiction,R,Crime Drama,154,94
9,Schindler's List,R,Biography Drama History,195,94
10,Inception,PG-13,Action Adventure Sci-Fi,148,74
12,Fight Club,R,Drama,139,66
13,The Lord of the Rings: The Fellowship of the Ring,PG-13,Action Adventure Drama,178,92
14,Forrest Gump,PG-13,Drama Romance,142,82
15,"The Good, the Bad and the Ugly",R,Western,178,90
16,The Lord of the Rings: The Two Towers,PG-13,Action Adventure Drama,179,87
17,The Matrix,R,Action Sci-Fi,136,73
18,Goodfellas,R,Biography Crime Drama,146,90
19,Star Wars: Episode V - The Empire Strikes Back,PG,Action Adventure Fantasy,124,82
20,One Flew Over the Cuckoo's Nest,R,Drama,133,84
21,Parasite,R,Comedy Drama Thriller,132,96
23,Interstellar,PG-13,Adventure Drama Sci-Fi,169,74
24,City of God,R,Crime Drama,130,79
25,Spirited Away,PG,Animation Adventure Family,125,96
26,Saving Private Ryan,R,Drama War,169,91
27,The Green Mile,R,Crime Drama Fantasy,189,61
28,Life Is Beautiful,PG-13,Comedy Drama Romance,116,59
29,Se7en,R,Crime Drama Mystery,127,65
30,The Silence of the Lambs,R,Crime Drama Thriller,118,85
31,Star Wars: Episode IV - A New Hope,PG,Action Adventure Fantasy,121,90
32,Hara-Kiri,Not Rated,Action Drama Mystery,133,85
33,Seven Samurai,Not Rated,Action Adventure Drama,207,98
34,It's a Wonderful Life,PG,Drama Family Fantasy,130,89
36,Whiplash,R,Drama Music,106,88
37,The Intouchables,R,Biography Comedy Drama,112,57
38,The Prestige,PG-13,Drama Mystery Sci-Fi,130,66
39,The Departed,R,Crime Drama Thriller,151,85
40,The Pianist,R,Biography Drama Music,150,85
41,Gladiator,R,Action Adventure Drama,155,67
42,American History X,R,Drama,119,62
43,The Usual Suspects,R,Crime Mystery Thriller,106,77
44,Léon: The Professional,R,Action Crime Drama,110,64
45,The Lion King,G,Animation Adventure Drama,88,88
46,Terminator 2: Judgment Day,R,Action Sci-Fi,137,75
47,Cinema Paradiso,R,Drama Romance,155,80
48,Grave of the Fireflies,Not Rated,Animation Drama War,89,94
49,Back to the Future,PG,Adventure Comedy Sci-Fi,116,87
50,Once Upon a Time in the West,PG-13,Western,165,80
51,Psycho,R,Horror Mystery Thriller,109,97
53,Rear Window,PG,Mystery Thriller,112,100
54,Casablanca,PG,Drama Romance War,102,100
55,Modern Times,G,Comedy Drama Family,87,96
56,City Lights,G,Comedy Drama Romance,87,99
57,Hamilton,PG-13,Biography Drama History,160,90
58,Capharnaüm,R,Drama,126,75
59,Joker,R,Crime Drama Thriller,122,59
61,Your Name.,PG,Animation Drama Fantasy,106,79
63,Spider-Man: Into the Spider-Verse,PG,Animation Action Adventure,117,87
64,Avengers: Endgame,PG-13,Action Adventure Drama,181,78
65,Avengers: Infinity War,PG-13,Action Adventure Sci-Fi,149,68
66,Coco,PG,Animation Adventure Comedy,105,81
67,Django Unchained,R,Drama Western,165,81
68,The Dark Knight Rises,PG-13,Action,164,78
69,3 Idiots,PG-13,Comedy Drama,170,67
71,WALL·E,G,Animation Adventure Family,98,95
72,The Lives of Others,R,Drama Mystery Thriller,137,89
73,Oldboy,R,Action Drama Mystery,120,77
74,Memento,R,Mystery Thriller,113,80
75,Princess Mononoke,PG-13,Animation Action Adventure,134,76
76,Once Upon a Time in America,R,Crime Drama,229,75
77,Indiana Jones and the Raiders of the Lost Ark,PG,Action Adventure,115,85
78,The Shining,R,Drama Horror,146,66
79,Apocalypse Now,R,Drama Mystery War,147,94
80,Alien,R,Horror Sci-Fi,117,89
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95,97
84,Paths of Glory,Not Rated,Drama War,88,90
88,1917,R,Action Drama War,119,78
94,The Hunt,R,Drama,115,77
95,A Separation,PG-13,Drama,123,95
96,Incendies,R,Drama Mystery War,131,80
97,Demon Slayer: Mugen Train,R,Animation Action Adventure,117,75
98,The Father,PG-13,Drama,97,88
100,Inglourious Basterds,R,Adventure Drama War,153,69
101,Eternal Sunshine of the Spotless Mind,R,Drama Romance Sci-Fi,108,89
102,Amélie,R,Comedy Romance,122,69
103,Snatch,R,Comedy Crime,102,55
104,Requiem for a Dream,R,Drama,102,68
105,American Beauty,R,Drama,122,84
106,Good Will Hunting,R,Drama Romance,126,70
107,Children of Heaven,PG,Drama Family Sport,89,77
108,Toy Story,G,Animation Adventure Comedy,81,95
109,Braveheart,R,Biography Drama History,178,68
110,Reservoir Dogs,R,Crime Drama Thriller,99,79
111,Full Metal Jacket,R,Drama War,116,76
113,Aliens,R,Action Adventure Sci-Fi,137,84
114,Amadeus,R,Biography Drama History,160,88
115,Scarface,R,Crime Drama,170,65
116,Star Wars: Episode VI - Return of the Jedi,PG,Action Adventure Fantasy,131,58
117,Das Boot,R,Adventure Drama Thriller,149,86
118,The Sting,PG,Comedy Crime Drama,129,83
119,A Clockwork Orange,R,Crime Drama Sci-Fi,136,77
120,2001: A Space Odyssey,G,Adventure Sci-Fi,149,84
121,To Kill a Mockingbird,Not Rated,Crime Drama,129,88
122,Lawrence of Arabia,Not Rated,Adventure Biography Drama,228,100
123,The Apartment,Not Rated,Comedy Drama Romance,125,94
124,North by Northwest,Not Rated,Adventure Mystery Thriller,136,98
125,Vertigo,PG,Mystery Romance Thriller,128,100
126,Singin' in the Rain,G,Comedy Musical Romance,103,99
129,Double Indemnity,Not Rated,Crime Drama Film-Noir,107,95
130,Citizen Kane,PG,Drama Mystery,119,100
132,Metropolis,Not Rated,Drama Sci-Fi,153,98
135,Green Book,PG-13,Biography Comedy Drama,130,69
136,A Silent Voice: The Movie,Not Rated,Animation Drama,130,78
139,Klaus,PG,Animation Adventure Comedy,96,65
143,Tangerines,Not Rated,Drama War,87,73
145,Gangs of Wasseypur,Not Rated,Action Crime Drama,321,89
149,The Secret in Their Eyes,R,Drama Mystery Romance,129,80
150,Shutter Island,R,Mystery Thriller,138,63
151,Up,PG,Animation Adventure Comedy,96,88
