,Name of movie,Rating,Genre,Watchtime,Stars
0,The Shawshank Redemption,R,Drama,142,9.3
1,The Godfather,R,Crime Drama,175,9.2
2,Soorarai Pottru,TV-MA,Drama,153,9.1
3,The Dark Knight,PG-13,Action Crime Drama,152,9.0
4,The Godfather: Part II,R,Crime Drama,202,9.0
5,12 Angry Men,Not Rated,Crime Drama,96,9.0
6,Dara of Jasenovac,R,Drama War,130,8.9
7,The Lord of the Rings: The Return of the King,PG-13,Action Adventure Drama,201,8.9
8,Pulp Fiction,R,Crime Drama,154,8.9
9,Schindler's List,R,Biography Drama History,195,8.9
10,Inception,PG-13,Action Adventure Sci-Fi,148,8.8
11,Shershaah,Not Rated,Action Biography Drama,135,8.8
12,Fight Club,R,Drama,139,8.8
13,The Lord of the Rings: The Fellowship of the Ring,PG-13,Action Adventure Drama,178,8.8
14,Forrest Gump,PG-13,Drama Romance,142,8.8
15,"The Good, the Bad and the Ugly",R,Western,178,8.8
16,The Lord of the Rings: The Two Towers,PG-13,Action Adventure Drama,179,8.7
17,The Matrix,R,Action Sci-Fi,136,8.7
18,Goodfellas,R,Biography Crime Drama,146,8.7
19,Star Wars: Episode V - The Empire Strikes Back,PG,Action Adventure Fantasy,124,8.7
20,One Flew Over the Cuckoo's Nest,R,Drama,133,8.7
21,Parasite,R,Comedy Drama Thriller,132,8.6
22,Drishyam 2,Not Rated,Crime Drama Thriller,152,8.6
23,Interstellar,PG-13,Adventure Drama Sci-Fi,169,8.6
24,City of God,R,Crime Drama,130,8.6
25,Spirited Away,PG,Animation Adventure Family,125,8.6
26,Saving Private Ryan,R,Drama War,169,8.6
27,The Green Mile,R,Crime Drama Fantasy,189,8.6
28,Life Is Beautiful,PG-13,Comedy Drama Romance,116,8.6
29,Se7en,R,Crime Drama Mystery,127,8.6
30,The Silence of the Lambs,R,Crime Drama Thriller,118,8.6
31,Star Wars: Episode IV - A New Hope,PG,Action Adventure Fantasy,121,8.6
32,Hara-Kiri,Not Rated,Action Drama Mystery,133,8.6
33,Seven Samurai,Not Rated,Action Adventure Drama,207,8.6
34,It's a Wonderful Life,PG,Drama Family Fantasy,130,8.6
35,Raatchasan,Not Rated,Action Crime Drama,170,8.5
36,Whiplash,R,Drama Music,106,8.5
37,The Intouchables,R,Biography Comedy Drama,112,8.5
38,The Prestige,PG-13,Drama Mystery Sci-Fi,130,8.5
39,The Departed,R,Crime Drama Thriller,151,8.5
40,The Pianist,R,Biography Drama Music,150,8.5
41,Gladiator,R,Action Adventure Drama,155,8.5
42,American History X,R,Drama,119,8.5
43,The Usual Suspects,R,Crime Mystery Thriller,106,8.5
44,Léon: The Professional,R,Action Crime Drama,110,8.5
45,The Lion King,G,Animation Adventure Drama,88,8.5
46,Terminator 2: Judgment Day,R,Action Sci-Fi,137,8.5
47,Cinema Paradiso,R,Drama Romance,155,8.5
48,Grave of the Fireflies,Not Rated,Animation Drama War,89,8.5
49,Back to the Future,PG,Adventure Comedy Sci-Fi,116,8.5
50,Once Upon a Time in the West,PG-13,Western,165,8.5
