,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
0,The Shawshank Redemption,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",R,Drama,['142 min'],142,"2,461,622",$28.34M,9.3,80
1,The Godfather,1972,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,R,Crime Drama,['175 min'],175,"1,702,572",$134.97M,9.2,100
2,Soorarai Pottru,2020,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",TV-MA,Drama,['153 min'],153,"89,824",*****,9.1,^^^^^^
3,The Dark Knight,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13,Action Crime Drama,['152 min'],152,"2,416,879",$534.86M,9.0,84
4,The Godfather: Part II,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,Crime Drama,['202 min'],202,"1,182,565",$57.30M,9.0,90
5,12 Angry Men,1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Approved,Crime Drama,['96 min'],96,"728,759",$4.36M,9.0,96
6,Dara of Jasenovac,2020,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,R,Drama War,['130 min'],130,"79,228",*****,8.9,^^^^^^
7,The Lord of the Rings: The Return of the King,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13,Action Adventure Drama,['201 min'],201,"1,708,411",$377.85M,8.9,94
8,Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,Crime Drama,['154 min'],154,"1,906,841",$107.93M,8.9,94
9,Schindler's List,1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,Biography Drama History,['195 min'],195,"1,265,377",$96.90M,8.9,94
10,Inception,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,PG-13,Action Adventure Sci-Fi,['148 min'],148,"2,168,374",$292.58M,8.8,74
11,Shershaah,2021,"This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",135 min,Action Biography Drama,"['Action', 'Biography', 'Drama']",135,"100,750",*****,8.8,^^^^^^
12,Fight Club,1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,Drama,['139 min'],139,"1,938,605",$37.03M,8.8,66
13,The Lord of the Rings: The Fellowship of the Ring,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13,Action Adventure Drama,['178 min'],178,"1,729,688",$315.54M,8.8,92
14,Forrest Gump,1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",PG-13,Drama Romance,['142 min'],142,"1,903,176",$330.25M,8.8,82
15,"The Good, the Bad and the Ugly",1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,R,Western,['178 min'],178,"717,219",$6.10M,8.8,90
16,The Lord of the Rings: The Two Towers,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13,Action Adventure Drama,['179 min'],179,"1,544,529",$342.55M,8.7,87
